,market_cap
NTAP,22297634816
NTRS,29975808000
NUE,52612399104
NVDA,5065405366272
NVR,16663598080
NWS,16694179840
NWSA,14433624064
NXPI,74605199360
O,57965887488
ODFL,41947738112
OKE,53297627136
OMC,21965428736
ON,40176463872
ORCL,570032324608
ORLY,78809800704
OXY,53690380288
PANW,160748322816
PAYX,33476907008
PCAR,60851847168
PCG,35367510016
PEG,38948802560
PEP,212983070720
PFE,151918690304
PFG,21981421568
PG,340592525312
PGR,114291826688
PH,112726278144
PHM,22807883776
PKG,20322811904
PLD,134107488256
PM,264926183424
PNC,88900386816
PNR,13046431744
PNW,12061153280
PODD,10864705536
POOL,7084519936
PPG,24932481024
PPL,27506677760
PRU,35065143296
PSA,54042636288
PSKY,12221370368
PSX,67745988608
PTC,17567395840
PWR,112042409984
QCOM,199522205696
RCL,76706447360
REG,14643796992
REGN,75400232960
RF,24031916032
RJF,30883018752
RL,21945853952
RMD,30490851328
ROK,50563440640
ROL,26162735104
ROP,35659653120
ROST,73672605696
RSG,61693915136
RTX,236060262400
RVTY,11249650688
SATS,36049174528
SBAC,23033704448
SBUX,117981732864
SCHW,160607617024
SHW,79966666752
SJM,10347553792
SLB,79657721856
SMCI,20566505472
SNA,19970416640
SNPS,98150637568
SO,104331722752
SPG,77771071488
SPGI,127445762048
SRE,59152728064
STE,21103570944
STLD,34336342016
STT,41520590848
STX,168591048704
STZ,26101508096
SW,22184828928
SWK,12555368448
SWKS,10014029824
SYF,25278224384
SYK,112459505664
SYY,34534346752
T,176036151296
TAP,8113471488
TDG,69949980672
TDY,29777819648
TECH,7720969728
TEL,62378131456
TER,56604078080
TFC,62941810688
TGT,58021015552
TJX,172985630720
TKO,13955606528
TMO,177779998720
TMUS,210770182144
TPL,29016811520
TPR,27694227456
TRGP,53746544640
TRMB,15079949312
TROW,22536562688
TRV,64210186240
TSCO,17077467136
TSLA,1536879755264
TSN,23476467712
TT,106120994816
TTWO,41664479232
TXN,257601748992
TXT,16062125056
TYL,14098267136
UAL,33080958976
UDR,13779476480
UHS,10487959552
ULTA,23316434944
UNH,334251622400
UNP,158384865280
UPS,85009776640
URI,60141322240
USB,86913269760
V,612846469120
VLO,68622647296
VMC,38400311296
VRSK,22817452032
VRSN,25258870784
VRTX,108463751168
VTR,41441107968
VTRS,19923240960
VZ,197858885632
WAB,45938442240
WAT,34727514112
WBD,67981144064
WDAY,32236902400
WDC,159132844032
WEC,36844457984
WELL,148227915776
WFC,245274181632
WM,88465129472
WMB,88434999296
WMT,1036069306368
WRB,24665194496
WSM,22051293184
WST,22304151552
WTW,24180570112
WY,17463652352
WYNN,11243825152
XEL,50047688704
XOM,606405328896
XYL,28006234112
YUM,43018960896
ZBH,16181201920
ZBRA,11446908928
ZTS,37252771840
